mode,total_tasks_mean,completed_tasks_mean,failed_tasks_mean,reliability_pct_mean,energy_wh_mean,avg_recovery_s_mean,cost_usd_mean,throughput_mean,run_mean,total_tasks_std,completed_tasks_std,failed_tasks_std,reliability_pct_std,energy_wh_std,avg_recovery_s_std,cost_usd_std,throughput_std,run_std
baseline,500.0,489.2,2.2,99.56000000000002,286.398,24.0,0.0639,0.48919999999999997,3.0,0.0,5.310367218940701,2.7748873851023217,0.5549774770204661,0.1979141227906566,13.416407864998739,0.0,0.005310367218940706,1.5811388300841898
reactive,500.0,491.4,0.0,100.0,286.412,12.0,0.0639,0.49139999999999995,3.0,0.0,3.0495901363953815,0.0,0.0,0.1965197191123471,6.708203932499369,0.0,0.003049590136395384,1.5811388300841898
proposed,500.0,491.4,0.0,100.0,291.414,4.0,0.0639,0.49139999999999995,3.0,0.0,3.0495901363953815,0.0,0.0,0.20815859338494846,2.23606797749979,0.0,0.003049590136395384,1.5811388300841898
